,link,title,source,timestamp,search_engine,page_count,search_string
0,https://www.hindustantimes.com/car-bike/this-carmaker-overtakes-volkswagen-as-chinas-best-selling-car-brand-101705998758748.html&sa=U&ved=2ahUKEwir4NfTnviDAxV3HrkGHd4PDo0QxfQBegQIARAC&usg=AOvVaw2UkShjkpHvL858JDZLXD2d,This carmaker overtakes Volkswagen as China's best-selling car brand,Hindustan Times,2024-01-23 15:06:40.060226,google,3.0,Volkswagen and Cars
1,https://www.carandbike.com/news/2024-volkswagen-golf-debuts-with-subtle-styling-updates-more-power-3211387&sa=U&ved=2ahUKEwir4NfTnviDAxV3HrkGHd4PDo0QxfQBegQICRAC&usg=AOvVaw2cU_u4FR6D_yOt0t97VI_b,"2024 Volkswagen Golf Debuts With Subtle Styling Updates, More Power",carandbike,2024-01-24 20:06:40.062731,google,3.0,Volkswagen and Cars
2,https://www.cardekho.com/india-car-news/new-hyundai-creta-vs-skoda-kushaq-vs-volkswagen-taigun-vs-mg-astor-price-comparison-31970.htm&sa=U&ved=2ahUKEwir4NfTnviDAxV3HrkGHd4PDo0QxfQBegQIABAC&usg=AOvVaw39HhZJG8xinbvO7KQ3hjKZ,New Hyundai Creta vs Skoda Kushaq vs Volkswagen Taigun vs MG Astor: Price Comparison,CarDekho,2024-01-24 15:06:40.067473,google,3.0,Volkswagen and Cars
3,https://www.indiatoday.in/technology/news/story/volkswagen-is-bringing-chatgpt-to-vehicles-so-that-you-can-ask-your-car-to-do-things-2486547-2024-01-09&sa=U&ved=2ahUKEwir4NfTnviDAxV3HrkGHd4PDo0QxfQBegQICBAC&usg=AOvVaw3tY5nA5xnSqAkW9-EM9wA8,Volkswagen is bringing ChatGPT to its vehicles so that you can ask your car to do things,India Today,2024-01-11 15:06:40.067473,google,3.0,Volkswagen and Cars
4,https://fortune.com/europe/2024/01/23/volkswagen-top-car-seller-china-byd-warren-buffett-berkshire-hathaway/&sa=U&ved=2ahUKEwir4NfTnviDAxV3HrkGHd4PDo0QxfQBegQIAhAC&usg=AOvVaw1zC9Xtz_4BfLyg82RTs1LK,Volkswagen just lost its crown as China’s biggest carmaker to Warren Buffett–backed BYD,Fortune,2024-01-24 15:06:40.067473,google,3.0,Volkswagen and Cars
5,https://www.volkswagen-newsroom.com/en/press-releases/world-premiere-to-mark-the-50th-anniversary-the-new-golf-is-more-attractive-intelligent-and-efficient-than-ever-before-18083&sa=U&ved=2ahUKEwir4NfTnviDAxV3HrkGHd4PDo0QxfQBegQIBBAC&usg=AOvVaw1WE2IGePcPjGoxVicQ_Bpp,"World premiere to mark the 50th anniversary: the new Golf (Near-production vehicle.) is more attractive, intelligent and ...",Volkswagen Newsroom,2024-01-24 15:06:40.067473,google,3.0,Volkswagen and Cars
6,https://motoroctane.com/news/235687-volkswagen-planning-strong-comeback-with-3-new-cars&sa=U&ved=2ahUKEwir4NfTnviDAxV3HrkGHd4PDo0QxfQBegQIBhAC&usg=AOvVaw058ouVleCTzM0N6ThRLoRJ,Volkswagen planning strong comeback with 3 new cars?,MotorOctane,2024-01-21 15:06:40.078481,google,3.0,Volkswagen and Cars
7,https://www.livemint.com/auto-news/volkswagen-is-bringing-chatgpt-integration-to-its-cars-heres-how-it-will-work-ces-2024-openai-11704764816688.html&sa=U&ved=2ahUKEwir4NfTnviDAxV3HrkGHd4PDo0QxfQBegQIBxAC&usg=AOvVaw3DPDq31qWkdlG0YSeMmilh,CES 2024: Volkswagen is bringing ChatGPT integration to its cars. Here's how it will work | Mint,Mint,2024-01-11 15:06:40.078481,google,3.0,Volkswagen and Cars
8,https://www.indiatvnews.com/technology/news/volkswagen-cars-to-feature-chatgpt-ai-assistance-in-2024-2024-01-10-911120&sa=U&ved=2ahUKEwir4NfTnviDAxV3HrkGHd4PDo0QxfQBegQIBRAC&usg=AOvVaw1Pg2HSF5T9IFQgduLr3rD9,Are Volkswagen cars bringing ChatGPT AI assistance? Here's everything you need to know,India TV News,2024-01-11 15:06:40.078481,google,3.0,Volkswagen and Cars
9,https://www.carwale.com/news/discount-offers-of-up-to-rs-420-lakh-on-volkswagen-cars-in-november-2023/&sa=U&ved=2ahUKEwir4NfTnviDAxV3HrkGHd4PDo0QxfQBegQIAxAC&usg=AOvVaw3fomtzFn7-xsoCSska6My1,Discount offers of up to Rs. 4.20 lakh on Volkswagen cars in November 2023,CarWale,2023-11-25 15:06:40.085188,google,3.0,Volkswagen and Cars
